topic_short,panel_factor,wave,covariates,Average Effect of Correction versus Control
Presidential winner must be announced election night,Panel 6 (MTurk),w1,yes,"-9.06 (3.75)* [-16.45, -1.68]"
Presidential winner must be announced election night,Panel 6 (MTurk),w3,yes,"3.81 (3.63) [-3.32, 10.95]"
Presidential winner must be announced election night,Panel 6 (MTurk),ratio,yes,"-0.42 (0.51) [-1.42, 0.58]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w1,yes,"-9.69 (3.39)* [-16.36, -3.03]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w3,yes,"1.53 (3.35) [-5.06, 8.11]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),ratio,yes,"-0.16 (0.37) [-0.89, 0.57]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w1,yes,"-24.87 (3.67)* [-32.09, -17.64]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w3,yes,"-22.81 (3.63)* [-29.95, -15.67]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),ratio,yes,"0.92 (0.13)* [0.66, 1.17]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w1,yes,"-1.03 (1.79) [-4.55, 2.48]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w3,yes,"-1.79 (1.83) [-5.38, 1.79]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),ratio,yes,"1.73 (2.36) [-2.90, 6.37]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w1,yes,"-7.96 (2.09)* [-12.06, -3.87]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w3,yes,"-3.35 (2.26) [-7.79, 1.09]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),ratio,yes,"0.42 (0.23) [-0.03, 0.87]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w1,yes,"-14.93 (2.01)* [-18.88, -10.98]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w3,yes,"-4.17 (2.27) [-8.61, 0.28]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),ratio,yes,"0.28 (0.14)* [0.01, 0.55]"
Meta-analysis,Meta-analysis,w1,yes,"-10.99 (3.23)* [-17.31, -4.66]"
Meta-analysis,Meta-analysis,w3,yes,"-4.36 (3.67) [-11.55, 2.82]"
Meta-analysis,Meta-analysis,ratio,yes,"0.34 (0.21) [-0.07, 0.76]"
