topic_short,panel_factor,wave,covariates,Average Effect of Correction versus Control
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w1,no,"-4.00 (4.07) [-12.01, 4.00]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w2,no,"-3.55 (4.25) [-11.91, 4.81]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),ratio,no,"0.89 (0.87) [-0.83, 2.60]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w1,no,"-11.58 (3.92)* [-19.28, -3.88]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w2,no,"-3.41 (4.02) [-11.31, 4.49]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),ratio,no,"0.29 (0.31) [-0.31, 0.90]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w1,no,"-4.32 (4.08) [-12.34, 3.70]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w2,no,"-0.32 (4.12) [-8.42, 7.77]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),ratio,no,"0.07 (0.91) [-1.71, 1.86]"
Presidential winner must be announced election night,Panel 6 (MTurk),w1,no,"-11.39 (4.06)* [-19.37, -3.41]"
Presidential winner must be announced election night,Panel 6 (MTurk),w2,no,"-5.71 (4.06) [-13.70, 2.28]"
Presidential winner must be announced election night,Panel 6 (MTurk),ratio,no,"0.50 (0.27) [-0.03, 1.04]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w1,no,"-9.62 (3.78)* [-17.06, -2.19]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w2,no,"-2.87 (3.85) [-10.44, 4.71]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),ratio,no,"0.30 (0.32) [-0.34, 0.93]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w1,no,"-26.81 (3.59)* [-33.87, -19.75]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w2,no,"-26.41 (3.78)* [-33.83, -18.98]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),ratio,no,"0.98 (0.10)* [0.79, 1.18]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),w1,no,"-7.33 (3.97) [-15.15, 0.48]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),w2,no,"0.42 (4.22) [-7.90, 8.73]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),ratio,no,"-0.06 (0.59) [-1.23, 1.11]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),w1,no,"-2.43 (3.76) [-9.82, 4.97]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),w2,no,"-2.39 (3.91) [-10.08, 5.31]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),ratio,no,"0.98 (1.70) [-2.36, 4.32]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),w1,no,"2.28 (3.77) [-5.13, 9.70]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),w2,no,"0.72 (4.02) [-7.18, 8.62]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),ratio,no,"0.31 (1.59) [-2.82, 3.44]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w1,no,"-0.97 (1.98) [-4.85, 2.91]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w2,no,"0.66 (2.07) [-3.40, 4.72]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),ratio,no,"-0.68 (3.30) [-7.15, 5.80]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w1,no,"-7.99 (2.13)* [-12.18, -3.80]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w2,no,"-2.00 (2.27) [-6.44, 2.45]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),ratio,no,"0.25 (0.24) [-0.23, 0.73]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w1,no,"-14.54 (2.14)* [-18.75, -10.33]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w2,no,"-6.34 (2.24)* [-10.74, -1.94]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),ratio,no,"0.44 (0.13)* [0.19, 0.68]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),w1,no,"-6.12 (3.18) [-12.36, 0.13]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),w2,no,"-0.83 (3.76) [-8.22, 6.55]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),ratio,no,"0.14 (0.59) [-1.03, 1.30]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),w1,no,"-16.32 (3.14)* [-22.50, -10.15]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),w2,no,"-3.58 (3.52) [-10.50, 3.34]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),ratio,no,"0.22 (0.20) [-0.17, 0.61]"
Obama failed to nominate US judges,Panel 3 (Lucid),w1,no,"-7.35 (3.44)* [-14.11, -0.58]"
Obama failed to nominate US judges,Panel 3 (Lucid),w2,no,"2.30 (3.60) [-4.78, 9.38]"
Obama failed to nominate US judges,Panel 3 (Lucid),ratio,no,"-0.31 (0.57) [-1.43, 0.80]"
Biden wears wire at debate,Panel 2 (MTurk),w1,no,"-3.51 (2.85) [-9.10, 2.08]"
Biden wears wire at debate,Panel 2 (MTurk),w2,no,"-1.91 (2.86) [-7.51, 3.70]"
Biden wears wire at debate,Panel 2 (MTurk),ratio,no,"0.54 (0.56) [-0.56, 1.65]"
Trump holds Bible upside down,Panel 2 (MTurk),w1,no,"-19.00 (2.72)* [-24.35, -13.65]"
Trump holds Bible upside down,Panel 2 (MTurk),w2,no,"-21.04 (2.74)* [-26.43, -15.65]"
Trump holds Bible upside down,Panel 2 (MTurk),ratio,no,"1.11 (0.12)* [0.86, 1.35]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),w1,no,"-6.89 (3.08)* [-12.93, -0.84]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),w2,no,"-2.93 (3.12) [-9.04, 3.19]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),ratio,no,"0.42 (0.35) [-0.26, 1.11]"
A black man invented the light bulb,Panel 1 (MTurk),w1,no,"3.08 (3.07) [-2.94, 9.10]"
A black man invented the light bulb,Panel 1 (MTurk),w2,no,"6.60 (3.05)* [0.61, 12.60]"
A black man invented the light bulb,Panel 1 (MTurk),ratio,no,"2.14 (1.52) [-0.85, 5.13]"
Antifa start West Coast wildfires,Panel 1 (MTurk),w1,no,"5.36 (3.21) [-0.95, 11.66]"
Antifa start West Coast wildfires,Panel 1 (MTurk),w2,no,"6.20 (3.21) [-0.11, 12.51]"
Antifa start West Coast wildfires,Panel 1 (MTurk),ratio,no,"1.16 (0.35)* [0.47, 1.84]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),w1,no,"-2.74 (3.13) [-8.89, 3.42]"
